startup_name,active_opinion_by_cms,location,hq,founded_date,industry_vertical,horizontal,operating_status,funding_status,employees,funding_round_1_investment,founder_round_1_investors,funding_round_1_date,funding_round_2_investment,founder_round_2_investors,funding_round_2_date,primary_industry,city,founders
ProCheck,,Karachi,Asia-Pacific,2019-01-01,"Health Care, Information Technology",,Active,Seed,1 to 10,250000.0,"Sarmayacar, Elastica",2017-04-13,210000.0,Sarmayacar,2020-02-28,Health Care,Karachi,Saim Siddiqui
EcoEnergy,,"Karachi, Sindh, Pakistan",Asia-Pacific,,Energy,Social entrepreneurship,Active,Seed,11 to 50,500000.0,Trine,2018-10-05,,,,Energy,Karachi,"Jeremy Higgs, Shazia Khan"
CertCars.com,,"Karachi, Sindh, Pakistan",Asia-Pacific,2017-01-01,Retail,"Automotive, Classified",Active,Seed,1 to 10,50000.0,"Shayaan Tahir, Homeshopping.pk",2017-05-30,,,,Retail,Karachi,"Fahad Hassan, Shayaan Tahir"
Bykea,Y,"Karachi, Sindh, Pakistan",Asia-Pacific,,Transportation,"Ride sharing, Courier service, local shopping",Active,Early Stage Venture,101 to 250,57000000.0,"Sarmayacar,Middle East Venture Partners (MEVP)",2019-04-29,,,,Transportation,Karachi,Muneeb Maayr
Bazaar Technologies,,"Karachi, Sindh, Pakistan",Asia-Pacific,,Retail,"B2B,E-commerce",Active,Pre-Seed,11 to 50,1300000.0,"Indus Valley Capital, Alter Global",2020-01-06,,,,Retail,Karachi,"Hamza Jawaid, Saad Jangda"
Peekaboo Guru,Y,Karachi,Asia-Pacific,,Location Based Services,Lifestyle,Active,Seed,1 to 10,50000.0,Oman Technology Fund,2018-01-01,,,,Location Based Services,Karachi,Mehdi Hassan Haryani
Screen-IT,Y,"Lahore, Punjab,Pakistan",Asia-Pacific,,Advertising,Marketing,Active,Seed,1 to 10,250000.0,Coeus Solutions,2020-01-08,,,,Advertising,Lahore,Hamza Malik
UpSkill,,"Islamabad, Pakistan",Asia-Pacific,,E-Learning,Education,Active,Seed,1 to 10,1400000.0,,2016-04-13,,,,E-Learning,Islamabad,"Abdul Basit, Aly Abbas Dilawar, Zeshan Jahangir"
Entertainer Asia - Vouch365,,"Karachi, Sindh, Pakistan",Asia-Pacific,,"Beauty, Fitness",Retail,Active,Seed,11 to 50,500000.0,,2015-03-29,500000.0,,2016-02-10,Beauty,Karachi,Faizan Lakhani
Daftarkhwan,Y,"Lahore, Punjab, Pakistan",Asia-Pacific,,Workspace,Co-working,Active,Seed,11 to 50,,Walled City Co,2018-12-06,,,,Workspace,Lahore,"Ahmad Habib, Saad Idrees"
Integry,Y,Islamabad,Asia-Pacific,,"Paas, Saas, Softwares",,Active,Seed,11 to 50,500000.0,Silicon Badia,2018-09-30,,,,Paas,Islamabad,"Muhammad Nasrullah, Yasir Farooqui"
Car Chabi,Y,"Lahore,",Asia-Pacific,2015-01-01,It,,Active,Seed,1 to 10,150000.0,Treet Group Of Companies,2017-01-27,,,,It,Lahore,"Hammad Yasir,, Muhammad Ali Rashid"
Tello Talk,Y,"Karachi,Pakistan",Asia-Pacific,2017-01-01,Communication,"Mobile App, Software",Active,Seed,11 to 50,1600000.0,SparkLabs Ventures,2019-02-11,,,2019-01-12,Communication,Karachi,
MangoBaaz,Y,"Lahore, Pakistan",Asia-Pacific,2015-01-01,Entertainment,"Content, Video production",Active,Seed,11 to 50,115000.0,Fatima Ventures,2016-12-14,,,,Entertainment,Lahore,Ali Ahsan
AutoSahulat,,"Lahore, Pakistan",Asia-Pacific,2018-01-01,Support,"Marketplace, Automotive",Active,Seed,1 to 10,100000.0,Antler,2018-05-09,,,,Support,Lahore,"Ghazanfar Iqbal, Mohsin Amjad"
Trellis Housing Finance Limited,,"Karachi,Pakistan",Asia-Pacific,,Fintech,financial services,Active,Seed,1 to 10,300000.0,,2019-01-12,,,,Fintech,Karachi,"Jamshed Meherhomji, Jamshed Meherhomji, Samuel Hjelmfelt"
Elite Maker,,"Islamabad, Pakistan",Asia-Pacific,,Clothing,Information Technology,Active,Pre-Seed,11 to 50,3000.0,,2019-12-17,,,,Clothing,Islamabad,"Hamza Tariq, Haris Imtiaz"
InstaCare,Y,"Lahore, Punjab,Pakistan",Asia-Pacific,,Health Care,SaaS,Active,Seed,11 to 50,140000.0,,2020-01-16,,,,Health Care,Lahore,Bilal Amjad
CarFirst,Y,"Lahore, Punjab, Pakistan",Asia-Pacific,2016-01-01,Retail,"Automotive, Classified",Active,Early Stage Venture,101 to 250,89000000.0,Frontier Car Group,,,,,Retail,Lahore,Raja Murad Khan
CYKIQ Technologies,Y,"Islamabad,Pakistan",Asia-Pacific,2017-01-01,Transport,Sharing economy,Active,Seed,1 to 10,50000.0,,2017-06-06,,,,Transport,Islamabad,Hamza Afridi
24seven.pk,,"Lahore,",Asia-Pacific,,E-Commerce,,Active,Seed,11 to 50,500000.0,Jarrar Shah,2018-12-15,,,,E-Commerce,Lahore,"Nabil Shahzad, Jarrar Shah"
Inov8 Logo,,"Lahore,",Asia-Pacific,2004-01-01,Financial Services,,Active,Early Stage Venture,101-250,5400000.0,Nahyan bin Mubarak Al Nahyan,2015-10-30,,,,Financial Services,Lahore,"Bashir Sheikh, Hasnain Sheikh"
PriceOye,Y,Islamabad,Asia-Pacific,2015-01-01,,,Active,Seed,,450000.0,Fatima Ventures,2019-11-02,,,,Unknown,Islamabad,"Adeel Shaffi, Adnan Shaffi, Awais Imran"
Rozee.pk,Y,"Lahore,",Asia-Pacific,2006-01-01,Career Planning,,Active,Late Stage Venture,501-1000,6500000.0,"Piton Capital, Vostok New Ventures",2015-05-21,,,,Career Planning,Lahore,Monis Rahman
Trukkr,,"Karachi,Pakistan",Asia-Pacific,2019-01-01,Logistics,Warehousing,Active,Seed,11 to 50,,,2019-01-07,,,,Logistics,Karachi,"Hisham Adamjee, Kasra Zunnaiyyer, Mishal Adamjee"
MeraPlan,,"Islamabad,Pakistan",Asia-Pacific,2016-01-01,Travel,Tourism,Active,Seed,11 to 50,10000.0,,2015-01-02,,,,Travel,Islamabad,"Ashar Jamil, Danish Fayaz"
Sukoon,,"Karachi,Pakistan",Asia-Pacific,2014-01-01,Services,Ecommerce,Active,Seed,11 to 50,,Crescent Ventures,2016-01-28,,,,Services,Karachi,"Qazi Umair, Shoaib Iqbal"
Life Circle Health Services,,"Hyderabad, Pakistan",Asia-Pacific,2012-01-01,Health-Care,Nursing,Active,Seed,11 to 50,150000.0,,2016-12-05,,,,Health-Care,Hyderabad,"Anant Kumar, Priya Anant"
Bag Tech,,"Sialkot, Pakistan",Asia-Pacific,2003-01-01,Retail,Lifestyle,Active,Seed,,2500000.0,,2003-01-07,8300000.000000001,Auriga Partners,2005-01-07,Retail,Sialkot,
Charcoal + Gravel,,"Lahore, Punjab,Pakistan",Asia-Pacific,,Entertainment,Information Technology,Active,Pre-Seed,1 to 10,70000.0,Humayun Mazhar,2017-12-15,,,,Entertainment,Lahore,Shameel Mazhar
AzaadHealth,,"Karachi, Sindh, Pakistan",Asia-Pacific,,Medical,Big Data,Active,Seed,1 to 10,,,2018-03-30,,,,Medical,Karachi,"Inam Haq, Rehan uddin, Syed Abrar"
Find my Doctor,Y,"Karachi, Sindh, Pakistan",Asia-Pacific,,Health Care,Wellness,Active,Seed,11 to 50,200000.0,,2017-09-11,,,,Health Care,Karachi,Saad Siddiqui
Affordable.pk,,"Lahore, Punjab, Pakistan",Asia-Pacific,2014-01-01,Retail,E-commerce,Active,Seed,1 to 10,100000.0,CresVenture,2017-03-22,,,,Retail,Lahore,Wajiha Ghazal
Snapthat,,"Islamabad, Islamabad, Pakistan",Asia-Pacific,,Technology,Artificial Intelligence,Active,Angel,1 to 10,20000.0,,2019-12-22,,,,Technology,Islamabad,"Muhammad Haris Bin Naeem, Muhammad Harris"
AugmentCare,Y,Lahore,Asia-Pacific,,"Health Care, Medical",,Active,Seed,11 to 50,1000000.0,"Fazal Din Group, Leonine Tech Ventures",2017-10-27,,,,Health Care,Lahore,Hyder Mumtaz
